Empresa,Relato
Samsung,"Estou entrando em contato pois meu Celular Samsung Galaxy Flip Z3 (F711-B), apresentou um defeito inesperado, (Documentação, NF e Fotos em anexo). Meu nome é Claudia Sperandio, tenho 61 anos, ganhei o Flip ZXXXXX-X de meu marido Waldir em dez/2022 (1 ano e 10 meses), conforme comprovada aquisição NF 16448 (Anexo). Ontem 20/10 estava em uma ligação de vídeo pelo aplicativo WhatsApp quando inesperadamente apareceu uma Linha Verde na tela, imediatamente desliguei a ligação e reiniciei o aparelho o que não funcionou, a linha permaneceu, desliguei e mantive desligado por um tempo de aproximadamente 15 minutos, tambem não funcionou. Procurei na internet informações sobre o defeito e soluções, durante a pesquisa verifiquei que possuem vários vídeos e declarações de outros consumidores informando sobre aparelhos da Samsung que apresentaram o mesmo problema/defeito. Fiquei mais tranquila quando constatei várias declarações que a SAMSUNG respondeu prontamente solucionando o problema, e tambem com a informação que no Código de Defesa do Consumidor, Artigo 18 acata a este tipo de ocorrência, visto que apesar de não estar mais na garantia, é um defeito recorrente em muitos aparelhos SAMSUNG, tranquila tambem pois utilizo o celular diariamente para o trabalho. Sendo assim, solicito a o retorno o mais breve possível, ou com a substituição da tela, ou substituição do aparelho ou similar, ou a devolução do valor pago, pois dependo do aparelho para trabalhar no dia a dia."
iFood,"Eu havia feito um pedido pelo iFood de R$109,13 o qual aparentava que estava para entrega mas que não teve atualizações e nem sinal de que estava chegando ou que tinha chegado, entretanto, para minha surpresa, o pedido foi cancelado porque segundo eles: ""demorou muito para receber"". Sendo que eu sequer tinha conhecimento de que estavam aqui e o aplicativo não tinha demonstrado nem mostrado nenhuma notificação, somente àquela do tempo do cancelamento Ao entrar em contato com o Desserviço do Ifood, fui informado que eles simplesmente retém todo e qualquer valor nesses casos, não oferecendo nenhum tipo de reembolso para o cliente, o que configura uma PRÁTICA ABUSIVA do estabelecimento em violação ao código de defesa do consumidor. Ora, eu PAGUEI o frete, AINDA que eu tivesse desistido voluntariamente, é garantido por LEI o meu reembolso. Se a empresa não me estornar esse valor, entrarei em contato com meus advogados e irei entrar em uma ação indenizatória para cobrir os meus danos materiais e os morais que estou passando por causa do aplicativo!"
Caixa Econômica Federal,"Fui vítima de golpe e a caixa se nega a dar qualquer satisfação. As duas contestações que foram abertas na agência os funcionários nem deixaram ver o que estava escrito. Quando chamaram pra falar que tinha a resposta, era apenas ""não"" sem nenhum explicação ou satisfação. Todos na agência reconhece que o telefone que os golpistas estavam usando era o telefone da agência. Abri reclamação aqui neste portal e a reclamação não foi respondida, a Caixa fechou sem nenhum satisfação. Fui roubada 20 mil reais e ainda foi colocado uma dívida de empréstimo de mais 20 mil na minha conta. Tem o nome de pra onde foi esse dinheiro, a Caixa devia ser capaz de rastrear. A Caixa também devia ter bloqueado 2 transações no valor de 20 mil fora do horário comercial, transações totalmente atípicas para o perfil."
Banco Inter (Banco Intermedium),Eu fiz um acordo com o Banco para quitar a minha dívida. Fui tentar fazer um novo empréstimo e não estão me liberando porque meu nome consta no Prejuízo do Banco Central (Registrato). Meu nome precisa ser retirado imediatamente!
Vivo - Telefônica,"Após contato de funcionários da Vivo, informando que o serviço que eu possuía: “Internet Speedy 4Mbpa” seria descontinuado. Entrei em contato com a Vivo para verificar o serviço de fibra mais econômico, fui informado que seria possível instalar o de 200Mbpa, que seria uma instalação promocional, visto minha migração para a fibra e, assim, em 07/08/2024 foi instalado o serviço de 200Mbpa + o telefone fixo no valor de R$ 85,02. Em anexo encaminho o arquivo com registro do serviço que mostra o serviço que foi instalado e os valores de desconto e o total a ser pago pelo serviço, e a fatura 08/2024 que já demonstra o valor da fibra de 200Mbpa com o telefone fixo. Ocorre que em 16/08/2024 solicitei a instalação de TV por assinatura no valor de R$ 165,00 (este serviço está com a cobrança correta) e, em nenhum momento solicitei o aumento de velocidade de minha internet, pelo contrário, enfatizei a não alteração de velocidade, para tanto, ficou registrado pela atendente da Vivo, que seriam serviços distinto, sendo duas contas em separados o da fibra vencendo dia 9 e o da TV por assinatura vencendo dia 1. Nesse, mês para minha surpresa recebi a fatura referente ao mês 09/2024 com o valor do serviço de fibra de 300Mbpa + telefone fixo no valor de R$ 147,08 (sendo: 116,12, fibra + 30,96 telefone fixo), ficando o valor total da fatura em R$ 326,59 (tv por assinatura + fibra/internet + telefonia fixa + vivo assistência casa), inclusive sendo cobrado por um item chamado vivo assistência casa que não contratei, Entrando em contato com a Vivo fui informado que isso era o preço de um combo, ou seja, sem qualquer autorização minha ou mesmo qualquer informação a Vivo alterou de forma arbitraria os valores e o serviço contratado, referente a fibra e o telefone fixo. Portanto solicitou que seja revisto a forma arbitraria que a Vivo ágil e revisado o valor de minha internet restabelecendo os valores de 200Mbpa. CDC - Lei nº 8.078 de 11 de Setembro de 1990 Dispõe sobre a proteção do consumidor e dá outras providências. Art. 35. Se o fornecedor de produtos ou serviços recusar cumprimento à oferta, apresentação ou publicidade, o consumidor poderá, alternativamente e à sua livre escolha: I - exigir o cumprimento forçado da obrigação, nos termos da oferta, apresentação ou publicidade; II - aceitar outro produto ou prestação de serviço equivalente; III - rescindir o contrato, com direito à restituição de quantia eventualmente antecipada, monetariamente atualizada, e a perdas e danos."
Equatorial Goiás,"Boa tarde! Recentemente recebi um boleto da equatorial com uma multa altíssima referente a religação não autorizada. Visto que atrasei uma de minhas faturas por motivo de equivoco a equatorial sem um aviso prévio cortou a energia de minha residência com isso chegando em minha residência e notando a falta de energia logo que peguei o celular estava com a carga esgotando apenas religuei o disjuntor para providenciei o pagamento , pois tenho conhecimento e precisava da energia para evitar prejuízos não tendo como acionar de imediato a religação pela equatorial. Peço que revejam a cobrança, pois não tenho condições de arcar com essa multa abusiva por sinal."
Unidas Rent a Car,"Sou cliente antigo da unidas, sempre que vou alugar algum veiculo procuro a unidas por conta dos valores e promoções que eles anunciam. Pois bem, hoje (21/10/2024) estou tentando contratar junto a unidas via Site, o aluguel de um SUV, através de uma parceiria que a unidas tem com a MASTERCARD, que essa parceria me proporciona 15% de desconto + 10% de desconto para pagamento antecipado. Desta forma ao realizar a reservar o site me informa ""erro de pagamento"" sem me dar mais informações. Ao Ligar para o SAC da UNIDAS, os atentendes me dizem que é uma questão sistemica e que é alguma coisa referente a analise do meu cadastro, sendo que neste momento eu estou com um veiculo alugado deles e gostaria de fazer um novo contrato para entregar e o veiculo e retirar o outro. Tentei ver forma de solucionar via telefone, no entanto a unica resposta que tenho é que é um erro por conta do meu cadastro, e, não me informão qual é o problema do meu cadastro que esta fazendo eu perder o benificio de pagar antecipado."
Google,"Recuperar minha conta Google, pois pelo email não dá nem pelos números pois estavam no celular q foi roubado, não tenho número e nem email de recuperação de terceiros ."
Universo Online - UOL,"Tentei realizar o cancelamento dos serviços UOL Banda Larga e Feature de Plano I por meio do portal da UOL. No entanto, encontrei grande dificuldade em localizar uma área clara e intuitiva para solicitar o cancelamento. A navegação do portal é confusa, com informações desencontradas e falta de instruções objetivas sobre o procedimento correto para encerrar os serviços. Após várias tentativas frustradas, recorri ao atendimento ao cliente, mas, mesmo assim, minha solicitação de cancelamento não foi atendida. Continuo sendo cobrado indevidamente pelos serviços que já não desejo manter, o que representa um descumprimento das normas previstas no Código de Defesa do Consumidor. Solicito que o cancelamento dos serviços seja realizado imediatamente, sem a cobrança de taxas adicionais."
Shopee Brasil,"Sou vendedor na shopee e tive o meu cadastro banido ate ai tudo bem eu estava no começo de um negocio online, minha reclamação aqui é apenas para saber sobre o meu dinheiro que ficou preso na plataforma. estou entrando em contato aqui a pedido do meu advogado para tentar resolver de maneira cordeal caso contrario vou dar continuidade no processo."
Qatar Airways,"No dia 11/02/2024 fiz um resgate de duas passagens aerea entre Doha x Londres (DOH - LHR) na classe executiva, na reserva constava que a aeronave a ser utilizada seria o Airbus AXXXXX-X00. Porém foi utilizada uma aeronvae diferente, no caso um Airbus A 350. Da mesma forma, no dia 13/02/2024 fiz outro resgate de duas passagens aereas entre Paris x Doha (CDG - DOH) na classe economica, pois tambem informava que a ser utilizada seria o Airbus AXXXXX-X00. Porém foi utilizada uma aeronvae diferente, no caso um Boing 777. Fiz exatamente estes resgates nestes dias, horários e trajetos, pois nas consultas apontavam que a aeronave que seria utilizada nesses voos seria o Airbus AXXXXX-X00. Como tinha o sonho e objetivo, de voar nesse avião, estava ansioso por esses dois vôos. Porém para minha decepção, nenhum dos voo foi utilizado o Airbus AXXXXX-X00, a companhia sem nenhuma explicação modificou a aeronave e fiquei frustado, pois em nenhum dos trechos foi utilizado o Airbus AXXXXX-X00. Foi uma decepção e frustação muito grande, pois aguardava muito esse momento, principalmente o trecho que que voe na classe executiva, onde iria poder acessar o bar (lounge) do avião. Nas reservas anexadas, poderá ser observado, que consta como aeronave, um Airbus AXXXXX-X00."
Serasa Experian,Serasa está mostrando que tenho dúvidas sendo que não tenho e isso está impactando o score
Banese - Banco do Estado de Sergipe,"Em (21/10/2024) verifiquei a o extrato ( conta corrente) na qual constava cobrança do serviço deRmprestimo pessoal no valor de R$ 4.413,86 que por mim não é reconhecido."
Serasa Experian,"Em 22/02/2024 verifiquei a o extrato do cartão de crédito na qual constava cobrança do serviço,no valor de 2.000, que por mim não é reconhecido, pois eu não solicitei e não autorizei a contratação."
Brastemp,"Adquiri um refrigerador Brastemp por R$ 4.900,00 no dia 24/09/2024. Entregue no dia 26/09, o produto não refrigerou direito e, após algumas horas, parou completamente de refrigerar. Comunicada, a Brastemp, mesmo ciente de que se trata de produto essencial, nos termos do art. 18, § 1º e 3º do CDC, o que possibilita a imediata substituição, optou por deixar o consumidor e sua família por quase 30 dias sem geladeira, inclusive uma criança doente que necessita de medicação especial. Comunicado o fato ao Procon, a Brastemp agilizou junto à assistência técnica a entrega do produto, que novamente não funcionou, inclusive com remendos no sistema de gás por fora da caixa, vazamento de óleo. Total DESCASO e DESRESPEITO com uma família, que está HÁ PRATICAMENTE 30 DIAS SEM GELADEIRA. CRIME CONTRA O SISTEMA DE CONSUMO. PRODUTO NOVO, QUE NÃO FUNCIONA. BEM ESSENCIAL."
Electrolux - Eletrodomésticos/Eletroportáteis,"Realizei uma compra do refil do purificador de água no site oficial da Electrolux, no inicio do mês e só tinha essa opção deste modelo em questão disponível em estoque na minha região. Sexta-feira (18/10/2024), tentei realizar a troca do filtro do meu purificador e vi que o modelo era divergente do modelo que eu tenho no meu escritório. Entrei em contato com o SAC, na data de hoje (21/10/2024), falando que me senti lesada pelo vício no site, que só havia o modelo que comprei errado em estoque. O modelo do purificador que eu tenho é o PE11B, e o site só tinha o modelo de refil para o PE10 na data da minha compra. O atendente negou o meu pedido de troca falando que o prazo são de sete dias corridos após a entrega do produto, conforme o art. 49 do CDC. No entanto, minha situação não se enquadra nesse artigo e sim um vício/defeito aparente no anúncio do site ao ofertar o produto divergente do que eu possuo e não consigo dar a destinação ao fim que eu esperava para ele- como a troca do filtro de água, como é questão de saúde preciso do modelo certo para dar a sua devida destinação para ele. Como me enquadro no art. 26, I, Cdc, por ser um bem que tem uma vida útil de 6 meses ou três mil litros de água, tenho prazo decadencial de trinta dias."
